"site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","hour","mean","two.sd","zscore"
"allstar_mine_2","14",4.99,95,2079,"S","F",4.08986256263913e-05,6.81643760439854e-06,1.36601955999971,"72",1.3672894725058,0.711105175468732,0.00357165873599694
"allstar_mine_2","15",5.01,96,2032,"S","B",3.99740294722593e-05,6.66233824537655e-06,1.32980803300929,"72",1.78086619802479,1.0711332885084,0.842207351511997
"allstar_mine_2","16",5.06,97,1912,"W","B",3.7613358440433e-05,6.26889307340549e-06,1.23891167458607,"72",1.58499110821951,1.3157962642318,0.526038024337288
"allstar_mine_2","17",5,98,1373,"W","C",2.7010011055813e-05,4.50166850930217e-06,0.900333701860433,"72",1.02385798795468,0.285239993015666,0.866107762717974
"allstar_mine_2","18",4.99,99,1389,"W","F",2.73247671933898e-05,4.55412786556497e-06,0.91265087486272,"72",1.24579276995495,0.584590788031189,1.13974390945914
"allstar_mine_2","2",5.02,83,1795,"W","B",3.53117041844023e-05,5.88528403073371e-06,1.17236733679954,"72",1.58499110821951,1.3157962642318,0.627184895772391
"allstar_mine_2","3",5.12,84,1548,"W","C",3.04526563105597e-05,5.07544271842662e-06,0.9912974059427,"72",1.02385798795468,0.285239993015666,0.228303062748918
"allstar_mine_2","4",4.98,85,3604,"S","B",7.08988199891843e-05,1.18164699981974e-05,2.37278514020028,"72",1.78086619802479,1.0711332885084,1.10521995446479
"allstar_mine_2","5",5.13,86,1584,"S","F",3.11608576201076e-05,5.19347627001794e-06,1.01237354191383,"72",1.3672894725058,0.711105175468732,0.998209386840762
"allstar_mine_2","6",5.02,87,2053,"S","C",4.03871469028289e-05,6.73119115047148e-06,1.34087473116962,"72",1.13494094569376,0.432986209933194,0.951225608351992
"allstar_mine_2","7",5.01,88,1803,"W","C",3.54690822531907e-05,5.91151370886511e-06,1.1799428560609,"72",1.02385798795468,0.285239993015666,1.09441082546689
"allstar_mine_2","8",5.06,89,3617,"W","B",7.11545593509655e-05,1.18590932251609e-05,2.34369431327291,"72",1.58499110821951,1.3157962642318,1.15322292010968
"allstar_mine_2","9",4.97,90,2212,"W","F",4.35150360199988e-05,7.25250600333313e-06,1.45925674111331,"72",1.24579276995495,0.584590788031189,0.730302206359648
"allstar_mine_2","off-site 1",5.13,100,2269,NA,NA,4.46363547601163e-05,7.43939246001938e-06,1.45017396881469,"72",1.63197080698872,1.02103211169952,0.356104056064257
"allstar_mine_2","off-site 2",4.99,101,1883,NA,NA,3.70428629410749e-05,6.17381049017915e-06,1.23723657117819,"72",1.63197080698872,1.02103211169952,0.773206310139442
"allstar_mine_2","off-site 3",4.96,102,3341,NA,NA,6.57250159777649e-05,1.09541693296275e-05,2.20850188097328,"72",1.63197080698872,1.02103211169952,1.1293103662037
"goshen_road","1",5,28,3276,"S","C",6.4446319168859e-05,1.07410531948098e-05,2.14821063896197,"72",2.00047607781828,0.350415693709593,0.843196031431835
"goshen_road","10",5.02,37,1715,"S","F",3.37379234965181e-05,5.62298724941968e-06,1.12011698195611,"72",1.63709702597868,1.62532962301153,0.636154090472641
"goshen_road","11",5.04,38,2815,"S","B",5.53774079549261e-05,9.22956799248769e-06,1.83126349057295,"72",1.75933597027958,0.845849306624894,0.17007171308179
"goshen_road","12",5.02,39,3299,"S","C",6.48987811166257e-05,1.08164635194376e-05,2.1546740078561,"72",2.00047607781828,0.350415693709593,0.880085754182036
"goshen_road","13",5.07,40,2827,"S","C",5.56134750581088e-05,9.26891250968479e-06,1.8281878717327,"72",2.00047607781828,0.350415693709593,0.983336130078508
"goshen_road","14",5.02,41,1944,"S","B",3.82428707155866e-05,6.37381178593111e-06,1.26968362269544,"72",1.75933597027958,0.845849306624894,1.15777679014233
"goshen_road","15",4.96,42,2105,"S","F",4.14101043499536e-05,6.90168405832561e-06,1.39146856014629,"72",1.63709702597868,1.62532962301153,0.302250647935982
"goshen_road","16",5.1,43,2987,"W","F",5.87610364338772e-05,9.79350607231287e-06,1.92029530829664,"72",2.20150487909691,1.73520266732769,0.324123027350283
"goshen_road","17",5.04,44,4305,"W","B",8.46890732667698e-05,1.41148455444616e-05,2.80056459215509,"72",2.05298944954768,1.33418051322842,1.12065066937373
"goshen_road","18",5.05,45,2406,"W","C",4.7331454188118e-05,7.88857569801967e-06,1.56209419762766,"72",2.81436336351997,2.78680686089422,0.898712561293528
"goshen_road","19",5,46,2853,"S","C",5.61249537816711e-05,9.35415896361186e-06,1.87083179272237,"72",2.00047607781828,0.350415693709593,0.739945655535367
"goshen_road","2",5.02,29,2524,"S","B",4.96527807027473e-05,8.27546345045788e-06,1.64849869531033,"72",1.75933597027958,0.845849306624894,0.262073336470563
"goshen_road","20",5.12,47,4441,"S","F",8.7364500436173e-05,1.45607500726955e-05,2.84389649857334,"72",1.63709702597868,1.62532962301153,1.48499043579678
"goshen_road","21",5.01,48,3496,"S","B",6.87742160605406e-05,1.14623693434234e-05,2.28789807253961,"72",1.75933597027958,0.845849306624894,1.24977841353111
"goshen_road","22",5.11,49,3703,"W","B",7.2846373590441e-05,1.21410622650735e-05,2.37594173484804,"72",2.05298944954768,1.33418051322842,0.484120824878326
"goshen_road","23",5.02,50,1680,"W","F",3.30493944455687e-05,5.50823240759478e-06,1.09725745171211,"72",2.20150487909691,1.73520266732769,1.27275902484106
"goshen_road","24",4.99,51,4521,"W","C",8.89382811240572e-05,1.48230468540095e-05,2.9705504717454,"72",2.81436336351997,2.78680686089422,0.112090371541077
"goshen_road","3",5.06,30,1841,"S","F",3.62166280799357e-05,6.03610467998928e-06,1.19290606323899,"72",1.63709702597868,1.62532962301153,0.546585697388156
"goshen_road","4",4.95,31,3042,"W","C",5.98430106567976e-05,9.97383510946627e-06,2.01491618373056,"72",2.81436336351997,2.78680686089422,0.573737054409925
"goshen_road","5",5.08,32,2696,"W","B",5.30364091816983e-05,8.83940153028306e-06,1.74003967131556,"72",2.05298944954768,1.33418051322842,0.46912659138582
"goshen_road","6",5.02,33,4428,"W","F",8.71087610743918e-05,1.4518126845732e-05,2.89205714058406,"72",2.20150487909691,1.73520266732769,0.795932687852121
"goshen_road","7",5.1,34,2015,"W","B",3.96396010760839e-05,6.60660017934732e-06,1.29541179987202,"72",2.05298944954768,1.33418051322842,1.13564490286624
"goshen_road","8",5.04,35,7240,"W","C",0.000142427152253522,2.37378587089204e-05,4.70989260097626,"72",2.81436336351997,2.78680686089422,1.36035924416238
"goshen_road","9",5.06,36,4470,"W","F",8.7934995935531e-05,1.46558326559218e-05,2.89640961579483,"72",2.20150487909691,1.73520266732769,0.800949364339226
"goshen_road","off-site 1",4.99,52,2834,NA,NA,5.57511808682986e-05,9.29186347804977e-06,1.86209688938873,"72",2.24090609352299,0.94511992224458,0.801610875442388
"goshen_road","off-site 2",4.98,53,4208,NA,NA,8.27808641827102e-05,1.37968106971184e-05,2.77044391508401,"72",2.24090609352299,0.94511992224458,1.1205727635143
"goshen_road","off-site 3",5.04,54,3213,NA,NA,6.32069668771501e-05,1.0534494479525e-05,2.09017747609623,"72",2.24090609352299,0.94511992224458,0.318961888071917
"jackson_mill","1",5.02,103,1824,"W","B",3.58821996837603e-05,5.98036661396005e-06,1.19130809043029,"72",1.50534344771444,0.614226274507445,1.02253964155466
"jackson_mill","10",4.99,112,2294,"W","F",4.51281612250801e-05,7.52136020418002e-06,1.50728661406413,"72",1.32072467461746,0.253416670923727,1.47237305869921
"jackson_mill","11",5.03,113,2261,"W","C",4.44789766913279e-05,7.41316278188798e-06,1.47378981747276,"72",1.06705282326932,0.839429718113905,0.969079329517484
"jackson_mill","12",5.02,114,2950,"W","B",5.80331628657308e-05,9.67219381095513e-06,1.92673183485162,"72",1.50534344771444,0.614226274507445,1.37209495792116
"jackson_mill","13",5.05,115,1912,"S","B",3.7613358440433e-05,6.26889307340549e-06,1.24136496503079,"72",1.38919648107658,0.502056378080935,0.588904045441518
"jackson_mill","14",5.12,116,1968,"S","F",3.87150049219519e-05,6.45250082032532e-06,1.26025406646979,"72",1.17643175305213,0.305610056640319,0.548557297748314
"jackson_mill","15",5.08,117,2569,"S","C",5.05380323396821e-05,8.42300538994702e-06,1.65807192715493,"72",1.46209102133809,0.377942679326274,1.03709327650528
"jackson_mill","16",5.04,118,2197,"W","B",4.32199521410205e-05,7.20332535683675e-06,1.42923122159459,"72",1.50534344771444,0.614226274507445,0.247831228583894
"jackson_mill","17",5.08,119,1897,"W","F",3.73182745614547e-05,6.21971242690911e-06,1.22435283994274,"72",1.32072467461746,0.253416670923727,0.760580070154345
"jackson_mill","18",5.01,120,1762,"W","C",3.466251965065e-05,5.77708660844167e-06,1.15311109948936,"72",1.06705282326932,0.839429718113905,0.205039860664919
"jackson_mill","19",5.07,121,1975,"W","F",3.88527107321418e-05,6.4754517886903e-06,1.27720942577718,"72",1.32072467461746,0.253416670923727,0.343428462552733
"jackson_mill","2",5.08,104,1974,"W","F",3.88330384735432e-05,6.47217307892387e-06,1.2740498186858,"72",1.32072467461746,0.253416670923727,0.368364525992131
"jackson_mill","20",4.98,122,2239,"W","B",4.40461870021597e-05,7.34103116702662e-06,1.47410264398125,"72",1.50534344771444,0.614226274507445,0.101724087782604
"jackson_mill","21",5.03,123,1784,"W","C",3.50953093398182e-05,5.84921822330303e-06,1.1628664459847,"72",1.06705282326932,0.839429718113905,0.228282655826523
