"","site","plot","mass_soil","plot_no","max(co2_int)","crop","treatment","mol_co2","c_g_hr","resp","mean","two.sd","zscore"
"63","allstar_mine_2","6",5.02,87,2053,"S","C",8.10856627506202e-05,1.35142771251034e-05,2.69208707671382,2.27863183764406,0.869310572464651,0.951225608351992
"64","allstar_mine_2","7",5.01,88,1803,"W","C",7.12116171161072e-05,1.18686028526845e-05,2.36898260532626,2.05560951645253,0.572679073674242,1.09441082546689
"65","allstar_mine_2","8",5.06,89,3617,"W","B",0.000142857692240133,2.38096153733555e-05,4.7054575836671,3.18220187162606,2.64173679776702,1.15322292010968
"66","allstar_mine_2","9",4.97,90,2212,"W","F",8.73655557741704e-05,1.45609259623617e-05,2.92976377512309,2.50119010993205,1.17368854005619,0.730302206359647
"67","goshen","1",5,28,3276,"S","C",0.000129389493994657,2.15649156657762e-05,4.31298313315525,4.01637503577394,0.703532953962403,0.843196031431836
"68","goshen","10",5.02,37,1715,"S","F",6.77359530527587e-05,1.12893255087931e-05,2.24886962326556,3.28681542318238,3.26318989522071,0.636154090472642
"69","goshen","11",5.04,38,2815,"S","B",0.000111181753844616,1.85302923074359e-05,3.67664529909443,3.53223572574603,1.69821977719421,0.17007171308179
"70","goshen","12",5.02,39,3299,"S","C",0.000130297906193033,2.17163176988388e-05,4.3259597009639,4.01637503577394,0.703532953962403,0.880085754182035
"71","goshen","13",5.07,40,2827,"S","C",0.000111655708035072,1.8609284672512e-05,3.6704703496079,4.01637503577394,0.703532953962403,0.983336130078507
"72","goshen","14",5.02,41,1944,"S","B",7.67805788539725e-05,1.27967631423288e-05,2.54915600444796,3.53223572574603,1.69821977719421,1.15777679014233
"73","goshen","15",4.96,42,2105,"S","F",8.31394642425988e-05,1.38565773737665e-05,2.79366479309808,3.28681542318238,3.26318989522071,0.302250647935982
"74","goshen","16",5.1,43,2987,"W","F",0.00011797509724116,1.96625162068601e-05,3.85539533467845,4.4199824909591,3.48378306161196,0.324123027350283
"75","goshen","17",5.04,44,4305,"W","B",0.000170031065826313,2.83385109710521e-05,5.62272043076431,4.12180663657982,2.67864703105609,1.12065066937373
"76","goshen","18",5.05,45,2406,"W","C",9.50278151865524e-05,1.58379691977587e-05,3.13623152430866,5.65042435656916,5.59509890157047,0.898712561293528
"77","goshen","19",5,46,2853,"S","C",0.000112682608781062,1.87804347968436e-05,3.75608695936872,4.01637503577394,0.703532953962403,0.739945655535369
"78","goshen","2",5.02,29,2524,"S","B",9.96883647260426e-05,1.66147274543404e-05,3.30970666421124,3.53223572574603,1.69821977719421,0.262073336470563
"79","goshen","20",5.12,47,4441,"S","F",0.000175402546651488,2.92337577752479e-05,5.70971831547811,3.28681542318238,3.26318989522071,1.48499043579678
"80","goshen","21",5.01,48,3496,"S","B",0.000138078654153029,2.30131090255048e-05,4.5934349352305,3.53223572574603,1.69821977719421,1.24977841353111
"81","goshen","22",5.11,49,3703,"W","B",0.000146254363938405,2.43757273230676e-05,4.7702010416962,4.12180663657982,2.67864703105609,0.484120824878326
"82","goshen","23",5.02,50,1680,"W","F",6.63535866639269e-05,1.10589311106545e-05,2.20297432483157,4.4199824909591,3.48378306161196,1.27275902484106
"83","goshen","24",4.99,51,4521,"W","C",0.000178562241254532,2.9760373542422e-05,5.96400271391222,5.65042435656916,5.59509890157047,0.112090371541076
"84","goshen","3",5.06,30,1841,"S","F",7.27124720525532e-05,1.21187453420922e-05,2.39500896088779,3.28681542318238,3.26318989522071,0.546585697388155
