site,plot,subsample_weight,POM + MAOM,fraction,fraction_weight_g,crop,treatment,ratio,percent_n,percent_c
agronomy_farm,9,10.01,10.45,POM,1.98,W,C,0.189473684,0.3247,4.4757
agronomy_farm,10,9.99,10.32,POM,1.43,S,C,0.138565891,0.3170,7.9403
agronomy_farm,11,9.99,10.39,POM,1.97,S,B,0.18960539,0.4170,8.3396
agronomy_farm,12,9.98,9.92,POM,2,S,C,0.201612903,0.5632,7.4760
agronomy_farm,13,9.98,10.66,POM,1.73,S,C,0.162288931,0.2898,4.8140
agronomy_farm,14,10.01,10.02,POM,1.9,S,C,0.189620758,0.2017,2.8995
agronomy_farm,15,10,10.48,POM,2,S,B,0.190839695,0.5428,10.8797
agronomy_farm,16,10,10.79,POM,2.06,W,B,0.190917516,0.1542,5.1021
agronomy_farm,17,9.99,10.53,POM,2.14,W,C,0.20322887,0.2432,3.1258
agronomy_farm,18,10.01,10.19,POM,2.01,W,C,0.197252208,0.2628,3.4840
agronomy_farm,19,10.02,10.38,POM,2.48,S,C,0.238921002,0.2254,3.8973
agronomy_farm,20,10.02,10.2,POM,2.35,S,C,0.230392157,0.2565,3.9897
agronomy_farm,21,10,10.49,POM,2.06,S,B,0.196377502,0.3938,8.8263
agronomy_farm,22,10.02,11.54,POM,2.41,W,C,0.208838821,0.2025,2.9359
agronomy_farm,23,10.02,10.26,POM,2.02,W,B,0.196881092,0.1951,4.6818
agronomy_farm,24,10,10.2,POM,1.54,W,C,0.150980392,0.2639,3.6649
allstar_mine_1,1,10.02,10.75,MAOM,6.58,W,C,0.612093023,0.4143,3.9528
allstar_mine_1,2,9.99,10.42,MAOM,6.81,W,C,0.653550864,0.4021,3.6799
allstar_mine_1,3,10.02,10.4,MAOM,7.12,W,B,0.684615385,0.3570,3.6778
allstar_mine_1,4,10,10.2,MAOM,6.63,S,C,0.65,0.4228,3.9389
allstar_mine_1,5,10.02,9.72,MAOM,5.64,S,B,0.580246914,0.3772,3.5675
allstar_mine_1,6,9.98,10.51,MAOM,6.83,S,C,0.649857279,0.2452,2.2468
allstar_mine_1,7,9.99,10.09,MAOM,6.77,W,B,0.670961348,0.2993,3.1358
allstar_mine_1,8,10.01,10.1,MAOM,6.54,W,C,0.647524752,0.2541,2.1686
allstar_mine_1,9,10.01,10.68,MAOM,6.85,W,C,0.641385768,0.2603,2.3873
allstar_mine_1,10,9.98,10.08,MAOM,6.61,S,C,0.655753968,0.3352,2.9677
allstar_mine_1,11,10.02,10.71,MAOM,7.05,S,C,0.658263305,0.3686,3.2827
allstar_mine_1,12,10.02,10.3,MAOM,7.05,S,B,0.684466019,0.3593,3.5186
allstar_mine_1,13,10.02,10.2,MAOM,6.8,W,B,0.666666667,0.3090,3.4188
allstar_mine_1,14,9.99,9.77,MAOM,6.48,W,C,0.663254862,0.2747,2.4692
allstar_mine_1,15,10.02,10.16,MAOM,6.67,W,C,0.656496063,0.2471,2.2597
allstar_mine_1,16,10,10.47,MAOM,7.1,S,C,0.678127985,0.3078,2.8328
allstar_mine_1,17,10,10.35,MAOM,7.5,S,B,0.724637681,0.2805,2.5011
allstar_mine_1,18,9.99,10.52,MAOM,7.05,S,C,0.670152091,0.2916,2.7981
allstar_mine_1,19,9.98,10.51,MAOM,6.59,W,B,0.627021884,0.3920,4.0400
allstar_mine_1,20,9.99,10.18,MAOM,6.15,W,C,0.604125737,0.4059,3.6913
allstar_mine_1,21,10.02,10.31,MAOM,6.56,W,C,0.636275461,0.3481,3.2147
allstar_mine_1,22,10,10.44,MAOM,6.39,S,C,0.612068966,0.3977,3.7901
