site,plot,weight,poxc,,,,,,,,
jackson_mill,12,2.46,668.3488,,,,,,,,
jackson_mill,12,2.54,794.3811,,,,,,,,
jackson_mill,13,2.49,756.506,,,,,,,,
jackson_mill,13,2.5,867.78,,,,,,,,
jackson_mill,13,2.5,918.072,,,,,,,,
jackson_mill,14,2.53,1028.099,,,,,,,,
jackson_mill,14,2.48,1025.006,,,,,,,,
jackson_mill,14,2.49,1009.027,,,,,,,,
jackson_mill,15,2.5,502.02,,,,,,,,
jackson_mill,15,2.5,515.736,,,,,,,,
jackson_mill,15,2.5,707.76,,,,,,,,
jackson_mill,16,2.47,1110.141,,,,,,,,
jackson_mill,16,2.47,1027.239,,,,,,,,
jackson_mill,16,2.52,1092.629,,,,,,,,
jackson_mill,17,2.51,750.8367,,,,,,,,
jackson_mill,17,2.49,709.8795,,,,,,,,
jackson_mill,17,2.45,774,,,,,,,,
jackson_mill,18,2.46,1085.598,,,,,,,,
jackson_mill,18,2.5,968.148,,,,,,,,
jackson_mill,18,2.49,906.7229,,,,,,,,
jackson_mill,19,2.47,790.9652,,,,,,,,
jackson_mill,19,2.48,800.6879,,,,,,,,
jackson_mill,19,2.55,845.6824,,,,,,,,
jackson_mill,20,2.51,528.5904,a,,,,,,,
jackson_mill,20,2.47,638.8907,a,,,,,,,
jackson_mill,20,2.55,571.7153,a,,,,,,,
jackson_mill,20,2.55,794.52,a,,,,,,,
jackson_mill,20,2.5,753.5952,a,,,,,,,
jackson_mill,20,2.51,846.3586,a,,,,,,,
jackson_mill,21,2.55,852.8965,,,,,,,,
jackson_mill,21,2.5,741.5352,,,,,,,,
jackson_mill,21,2.52,762.95,,,,,,,,
jackson_mill,22,2.49,863.0024,,,,,,,,
jackson_mill,22,2.51,978.6765,,,,,,,,
jackson_mill,22,2.5,955.8432,,,,,,,,
jackson_mill,23,2.5,448.416,,,,,,,,
jackson_mill,23,2.55,374.1176,,,,,,,,
jackson_mill,23,2.47,394.6883,,,,,,,,
jackson_mill,24,2.46,807.058537,,,,,,,,
jackson_mill,24,2.54,797.598425,,,,,,,,
jackson_mill,24,2.5,810.36,,,,,,,,
jackson_mill,offsite 1,2.55,703.065882,,,,,,,,
jackson_mill,offsite 1,2.52,727.521429,,,,,,,,
jackson_mill,offsite 1,2.52,675.242857,,,,,,,,
jackson_mill,offsite 2,2.49,642.679518,,,,,,,,
jackson_mill,offsite 2,2.46,629.919512,,,,,,,,
jackson_mill,offsite 2,2.46,666.995122,,,,,,,,
jackson_mill,offsite 3,2.48,624.839516,,,,,,,,
jackson_mill,offsite 3,2.53,556.413439,,,,,,,,
jackson_mill,offsite 3,2.48,616.666935,,,,,,,,
reedsville,1,2.52,751.9714,,,,,,,,
reedsville,1,2.55,785.1953,,,,,,,,
reedsville,1,2.49,726.5639,,,,,,,,
reedsville,2,2.54,699.5906,,,,,,,,
reedsville,2,2.51,814.8048,,,,,,,,
reedsville,2,2.47,702.0437,,,,,,,,
reedsville,3,2.47,913.766,,,,,,,,
reedsville,3,2.49,923.5735,,,,,,,,
reedsville,3,2.53,883.6577,,,,,,,,
reedsville,4,2.54,826.3559,,,,,,,,
reedsville,4,2.49,850.8578,,,,,,,,
reedsville,4,2.53,958.0482,,,,,,,,
reedsville,5,2.52,696.4286,,,,,,,,
reedsville,5,2.5,685.728,,,,,,,,
reedsville,5,2.52,676.25,,,,,,,,
reedsville,6,2.51,626.2709,,,,,,,,
reedsville,6,2.54,674.9291,,,,,,,,
reedsville,6,2.49,725.241,,,,,,,,
reedsville,7,2.51,804.5498,,,,,,,,
reedsville,7,2.55,760.0235,,,,,,,,
reedsville,7,2.46,767.1585,,,,,,,,
reedsville,8,2.51,1037.869,,,,,,,,
reedsville,8,2.51,1033.888,,,,,,,,
reedsville,8,2.49,1046.205,,,,,,,,
reedsville,9,2.5,1006.056,,,,,,,,
reedsville,9,2.5,846.216,,,,,,,,
reedsville,9,2.53,875.668,,,,,,,,
reedsville,10,2.55,771.3318,,,,,,,,
reedsville,10,2.48,801.2903,,,,,,,,
reedsville,10,2.48,1124.681,,,,,,,,
reedsville,11,2.49,977.4651,,,,,,,,
reedsville,11,2.47,1059.362,,,,,,,,
reedsville,11,2.51,993.9442,,,,,,,,
reedsville,12,2.52,488.0286,,,,,,,,
reedsville,12,2.53,613.3091,,,,,,,,
reedsville,12,2.55,595.8776,,,,,,,,
reedsville,13,2.48,841.412903,,,,,,,,
reedsville,13,2.53,784.728854,,,,,,,,
reedsville,13,2.54,865.424409,,,,,,,,
reedsville,14,2.55,792.5929,,,,,,,,
reedsville,14,2.54,790.852,,,,,,,,
reedsville,14,2.5,749.1744,,,,,,,,
reedsville,15,2.47,733.2777,,,,,,,,
reedsville,15,2.51,829.8215,,,,,,,,
reedsville,15,2.55,845.8588,,,,,,,,
reedsville,16,2.47,688.285,,,,,,,,
reedsville,16,2.46,932.0195,,,,,,,,
reedsville,16,2.52,919.6286,,,,,,,,
reedsville,17,2.48,416.6419,,,,,,,,
reedsville,17,2.5,294.768,,,,,,,,
reedsville,17,2.52,307.1286,,,,,,,,
reedsville,18,2.54,591.5339,,,,,,,,
reedsville,18,2.51,578.9259,,,,,,,,
reedsville,18,2.49,529.0265,,,,,,,,
reedsville,19,2.5,299.7072,,,,,,,,
reedsville,19,2.51,362.4669,,,,,,,,
reedsville,19,2.45,310.8637,,,,,,,,
reedsville,20,2.49,881.1181,,,,,,,,
reedsville,20,2.52,939.2286,,,,,,,,
reedsville,20,2.5,843.0192,,,,,,,,
reedsville,21,2.49,376.3084,,,,,,,,
reedsville,21,2.51,473.9092,,,,,,,,
reedsville,21,2.48,445.7032,,,,,,,,
reedsville,22,2.46,278.2537,,,,,,,,
reedsville,22,2.54,326.2961,,,,,,,,
reedsville,22,2.5,523.9008,,,,,,,,
reedsville,23,2.5,523.9008,,,,,,,,
reedsville,23,2.49,434.2554,,,,,,,,
reedsville,23,2.51,545.7657,,,,,,,,
reedsville,24,2.53,997.698,,,,,,,,
reedsville,24,2.51,952.953,,,,,,,,
reedsville,24,2.5,995.2416,,,,,,,,
reedsville,offsite 1,2.47,1221.522,,,,,,,,
reedsville,offsite 1,2.47,1304.279,,,,,,,,
reedsville,offsite 1,2.5,1327.104,,,,,,,,
reedsville,offsite 2,2.5,1105.862,,,,,,,,
reedsville,offsite 2,2.47,1090.086,,,,,,,,
reedsville,offsite 2,2.52,1101.857,,,,,,,,
reedsville,offsite 3,2.48,848.1194,,,,,,,,
reedsville,offsite 3,2.55,890.8518,,,,,,,,
reedsville,offsite 3,2.54,619.7953,,,,,,,,
