"site","plot","subsample_weight","POM...MAOM","fraction","pom_weight","crop","treatment","date","land_type","weight_bc"
"Allstar Mine 2",3,10.01,10.06,"POM",2.98,"Willow","Control","June 2021","Mine",1.05657708862184
"Allstar Mine 2",6,10.01,10.31,"POM",3.16,"Switchgrass","Control","June 2021","Mine",1.11137280341923
"Allstar Mine 2",7,10.06,10.52,"POM",3.31,"Willow","Control","June 2021","Mine",1.15456452840224
"Allstar Mine 2",8,9.99,10.04,"POM",3.02,"Willow","Biochar","June 2021","Mine",1.06905176614725
"Allstar Mine 2",9,10,10.03,"POM",2.73,"Willow","Control","June 2021","Mine",0.974348108746404
"Goshen Road",1,10.01,10.53,"POM",4.01,"Switchgrass","Control","June 2021","Mine",1.33195041188405
"Goshen Road",10,10.01,10.48,"POM",5.05,"Switchgrass","Control","June 2021","Mine",1.54245822952135
"Goshen Road",11,10.01,10.28,"POM",4.78,"Switchgrass","Biochar","June 2021","Mine",1.49256413911586
"Goshen Road",12,10.03,9.84,"POM",4.55,"Switchgrass","Control","June 2021","Mine",1.44764453878134
"Goshen Road",14,NA,10.6,"POM",6.01,"Switchgrass","Biochar","June 2021","Mine",1.69939627890942
"Goshen Road",15,10.02,10.54,"POM",4.26,"Switchgrass","Control","June 2021","Mine",1.38744453093102
"Goshen Road",17,10,10.11,"POM",3.88,"Willow","Biochar","June 2021","Mine",1.30162440466359
"Goshen Road",18,NA,10.86,"POM",3.48,"Willow","Control","June 2021","Mine",1.20107344502374
"Goshen Road",2,9.97,10.21,"POM",3.53,"Switchgrass","Biochar","June 2021","Mine",1.21429488126123
"Goshen Road",20,9.98,10.72,"POM",4.29,"Switchgrass","Control","June 2021","Mine",1.39387064648237
"Goshen Road",21,9.98,10.4,"POM",5.43,"Switchgrass","Biochar","June 2021","Mine",1.60808251332961
"Goshen Road",22,9.99,10.66,"POM",4.51,"Willow","Biochar","June 2021","Mine",1.43958701964799
"Goshen Road",23,10.02,10.01,"POM",3.54,"Willow","Control","June 2021","Mine",1.21691532702885
"Goshen Road",24,10.03,10.09,"POM",4.28,"Willow","Control","June 2021","Mine",1.39173391800049
"Goshen Road",3,9.98,10.68,"POM",4.01,"Switchgrass","Control","June 2021","Mine",1.33195041188405
"Goshen Road",4,NA,10.2,"POM",4.16,"Willow","Control","June 2021","Mine",1.36567219933788
"Goshen Road",5,9.99,10.77,"POM",4.23,"Willow","Biochar","June 2021","Mine",1.38097023805282
"Goshen Road",6,9.98,10.84,"POM",3.98,"Willow","Control","June 2021","Mine",1.32504561132806
"Goshen Road",7,NA,11.58,"POM",4.77,"Willow","Biochar","June 2021","Mine",1.49065921843853
"Goshen Road",8,10,10.26,"POM",4.73,"Willow","Control","June 2021","Mine",1.48299694842277
"Goshen Road",9,9.98,10.55,"POM",4.39,"Willow","Control","June 2021","Mine",1.41495185611016
"Jackson Mill",10,10.02,10.68,"POM",2.53,"Willow","Control","June 2021","Agriculture",0.90259326362808
"Jackson Mill",11,10.02,10.58,"POM",1.65,"Willow","Control","June 2021","Agriculture",0.493252318069364
