"site","plot","bg","date","crop","treatment","land_type"
"Allstar Mine 2","9",156.050883524614,"August 2022","Willow","Control","Mine"
"Allstar Mine 2","10",123.827829603361,"August 2022","Switchgrass","Biochar","Mine"
"Allstar Mine 2","11",165.791226460917,"August 2022","Switchgrass","Control","Mine"
"Allstar Mine 2","12",151.170927637239,"August 2022","Switchgrass","Control","Mine"
"Allstar Mine 2","13",254.510763409812,"August 2022","Switchgrass","Control","Mine"
"Allstar Mine 2","14",152.276599608932,"August 2022","Switchgrass","Control","Mine"
"Allstar Mine 2","16",82.4697247582396,"August 2022","Willow","Biochar","Mine"
"Allstar Mine 2","17",100.344618256013,"August 2022","Willow","Control","Mine"
"Allstar Mine 2","18",127.544617718684,"August 2022","Willow","Control","Mine"
"Goshen Road","1",111.741547340607,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","2",111.52963210723,"August 2022","Switchgrass","Biochar","Mine"
"Goshen Road","3",89.1552630105991,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","4",48.8228876176178,"August 2022","Willow","Control","Mine"
"Goshen Road","5",46.9451290962754,"August 2022","Willow","Biochar","Mine"
"Goshen Road","6",69.3495674333062,"August 2022","Willow","Control","Mine"
"Goshen Road","7",132.397854990271,"August 2022","Willow","Biochar","Mine"
"Goshen Road","8",81.5440426883832,"August 2022","Willow","Control","Mine"
"Goshen Road","9",114.290566466299,"August 2022","Willow","Control","Mine"
"Goshen Road","10",57.4456858580794,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","11",55.2846206289882,"August 2022","Switchgrass","Biochar","Mine"
"Goshen Road","12",147.095983601707,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","13",172.682122177248,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","14",152.4778839962,"August 2022","Switchgrass","Biochar","Mine"
"Goshen Road","15",54.5075384734383,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","16",92.2942983651854,"August 2022","Willow","Control","Mine"
"Goshen Road","17",83.5353039362783,"August 2022","Willow","Biochar","Mine"
"Goshen Road","18",144.73267663134,"August 2022","Willow","Control","Mine"
"Goshen Road","19",227.590497716391,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","20",63.9426804242319,"August 2022","Switchgrass","Control","Mine"
"Goshen Road","21",122.382547004961,"August 2022","Switchgrass","Biochar","Mine"
"Goshen Road","22",95.0281997425767,"August 2022","Willow","Biochar","Mine"
"Goshen Road","23",102.347423767012,"August 2022","Willow","Control","Mine"
"Jackson Mill","1",104.561980174572,"August 2022","Willow","Biochar","Agriculture"
"Jackson Mill","2",112.421959042627,"August 2022","Willow","Control","Agriculture"
"Jackson Mill","3",121.242764394108,"August 2022","Willow","Control","Agriculture"
"Jackson Mill","4",136.172835517691,"August 2022","Switchgrass","Control","Agriculture"
"Jackson Mill","5",113.100575216456,"August 2022","Switchgrass","Biochar","Agriculture"
"Jackson Mill","6",104.289769599442,"August 2022","Switchgrass","Control","Agriculture"
"Jackson Mill","7",38.729412118102,"August 2022","Switchgrass","Biochar","Agriculture"
