"site","plot","subsample_weight","POM...MAOM","fraction","maom_weight","crop","treatment","date","land_type","cbrt_weight"
"Allstar Mine 2",3,10.01,10.06,"MAOM",7.08,"Willow","Control","June 2021","Mine",1.5051673636461
"Allstar Mine 2",4,9.98,10.68,"MAOM",7.41,"Switchgrass","Biochar","June 2021","Mine",1.45495726975829
"Allstar Mine 2",5,10.03,10.5,"MAOM",7.47,"Switchgrass","Control","June 2021","Mine",1.44544747339436
"Allstar Mine 2",6,10.01,10.31,"MAOM",7.15,"Switchgrass","Control","June 2021","Mine",1.49479678673206
"Allstar Mine 2",7,10.06,10.52,"MAOM",7.21,"Willow","Control","June 2021","Mine",1.48579176828931
"Allstar Mine 2",8,9.99,10.04,"MAOM",7.02,"Willow","Biochar","June 2021","Mine",1.51394404809201
"Allstar Mine 2",9,10,10.03,"MAOM",7.3,"Willow","Control","June 2021","Mine",1.47207598457793
"Goshen Road",1,10.01,10.53,"MAOM",6.52,"Switchgrass","Control","June 2021","Mine",1.5834225865353
"Goshen Road",10,10.01,10.48,"MAOM",5.43,"Switchgrass","Control","June 2021","Mine",1.71678867179923
"Goshen Road",11,10.01,10.28,"MAOM",5.5,"Switchgrass","Biochar","June 2021","Mine",1.70883520187738
"Goshen Road",12,10.03,9.84,"MAOM",5.29,"Switchgrass","Control","June 2021","Mine",1.73247821068181
"Goshen Road",13,NA,11.1,"MAOM",5.44,"Switchgrass","Control","June 2021","Mine",1.71565697162171
"Goshen Road",14,NA,10.6,"MAOM",4.59,"Switchgrass","Biochar","June 2021","Mine",1.80696886932119
"Goshen Road",15,10.02,10.54,"MAOM",6.28,"Switchgrass","Control","June 2021","Mine",1.61470813002311
"Goshen Road",17,10,10.11,"MAOM",6.23,"Willow","Biochar","June 2021","Mine",1.62107534151932
"Goshen Road",18,NA,10.86,"MAOM",7.38,"Willow","Control","June 2021","Mine",1.45966590216046
"Goshen Road",2,9.97,10.21,"MAOM",6.68,"Switchgrass","Biochar","June 2021","Mine",1.56185840324904
"Goshen Road",20,9.98,10.72,"MAOM",6.43,"Switchgrass","Control","June 2021","Mine",1.59529869963917
"Goshen Road",21,9.98,10.4,"MAOM",4.97,"Switchgrass","Biochar","June 2021","Mine",1.76731118448072
"Goshen Road",22,9.99,10.66,"MAOM",6.15,"Willow","Biochar","June 2021","Mine",1.63116005092115
"Goshen Road",23,10.02,10.01,"MAOM",6.47,"Willow","Control","June 2021","Mine",1.59004232314857
"Goshen Road",24,10.03,10.09,"MAOM",5.81,"Willow","Control","June 2021","Mine",1.67268932147384
"Goshen Road",3,9.98,10.68,"MAOM",6.67,"Switchgrass","Control","June 2021","Mine",1.56322366478619
"Goshen Road",4,NA,10.2,"MAOM",6.04,"Willow","Control","June 2021","Mine",1.64482615655336
"Goshen Road",5,9.99,10.77,"MAOM",6.54,"Willow","Biochar","June 2021","Mine",1.58075912888041
"Goshen Road",6,9.98,10.84,"MAOM",6.86,"Willow","Control","June 2021","Mine",1.53686436809526
"Goshen Road",7,NA,11.58,"MAOM",6.81,"Willow","Biochar","June 2021","Mine",1.54388852587233
"Goshen Road",8,10,10.26,"MAOM",5.53,"Willow","Control","June 2021","Mine",1.70540379665632
"Goshen Road",9,9.98,10.55,"MAOM",6.16,"Willow","Control","June 2021","Mine",1.62990627636801
"Jackson Mill",10,10.02,10.68,"MAOM",8.15,"Willow","Control","June 2021","Agriculture",1.32761439426177
"Jackson Mill",12,10.02,10.47,"MAOM",8.22,"Willow","Biochar","June 2021","Agriculture",1.31424182948256
"Jackson Mill",13,10.01,10.05,"MAOM",8.52,"Switchgrass","Biochar","June 2021","Agriculture",1.25358968148155
"Jackson Mill",15,9.99,10.13,"MAOM",7.77,"Switchgrass","Control","June 2021","Agriculture",1.39590640938178
"Jackson Mill",16,10,10.38,"MAOM",8.04,"Willow","Biochar","June 2021","Agriculture",1.34809974988793
"Jackson Mill",17,9.99,10.56,"MAOM",8.17,"Willow","Control","June 2021","Agriculture",1.32382118960525
"Jackson Mill",18,10,11,"MAOM",8.84,"Willow","Control","June 2021","Agriculture",1.1816657504675
"Jackson Mill",19,10.03,10.55,"MAOM",7.9,"Willow","Control","June 2021","Agriculture",1.37330369328893
"Jackson Mill",2,10.02,10.52,"MAOM",8.59,"Willow","Control","June 2021","Agriculture",1.23856232963017
"Jackson Mill",20,9.98,11.96,"MAOM",8.78,"Willow","Biochar","June 2021","Agriculture",1.19581878143035
"Jackson Mill",21,10.08,10.27,"MAOM",6.92,"Willow","Control","June 2021","Agriculture",1.52834970934492
"Jackson Mill",22,9.99,10.16,"MAOM",7.8,"Switchgrass","Control","June 2021","Agriculture",1.39075541637633
"Jackson Mill",23,10.02,10.7,"MAOM",7.71,"Switchgrass","Control","June 2021","Agriculture",1.40609586788062
"Jackson Mill",24,10.05,10.49,"MAOM",8.53,"Switchgrass","Biochar","June 2021","Agriculture",1.25146494913519
"Jackson Mill",3,NA,10.5,"MAOM",8.52,"Willow","Control","June 2021","Agriculture",1.25358968148155
"Jackson Mill",5,NA,8.2,"MAOM",8.2,"Switchgrass","Biochar","June 2021","Agriculture",1.31809029018942
"Jackson Mill",6,10.02,10.89,"MAOM",8.31,"Switchgrass","Control","June 2021","Agriculture",1.29663825697417
"Jackson Mill",7,9.98,9.58,"MAOM",7.11,"Switchgrass","Biochar","June 2021","Agriculture",1.50074037524362
